Post URL,Account,Views,Likes,Comments,Shares,Caption,Hashtags,Date posted,Date Collected
https://www.tiktok.com/@apaullo/video/6936620009359789317,apaullo,603700,133000,5898,925,#ootd #fatboy #driptok  #fyp #stussy #ald #uniqlo #fashion #streetwear #JesusIsKing #JesusIsLord,#ootd #fatboy #driptok #fyp #stussy #ald #uniqlo #fashion #streetwear #jesusisking #jesusislord,3/6/2021,04/20/2023
https://www.tiktok.com/@originalparadigms/video/6937489463174089989,originalparadigms,386500,47900,296,2007,#fyp #foryou #summeroutfits #styletips #streetwear #fashion #summer #style #fashion2021 #hypebeasts #hype #y2k,#fyp #foryou #summeroutfits #styletips #streetwear #fashion #summer #style #fashion2021 #hypebeasts #hype #y2k,3/9/2021,04/20/2023
https://www.tiktok.com/@fiorella.del/video/6937789996942314758,fiorella.del,1100000,80100,1339,1391,Which one ? 😫 ib: @nathns #outfitideas #outfitinspo #fashiontiktok #streetwear,#outfitideas #outfitinspo #fashiontiktok #streetwear,3/9/2021,04/20/2023
https://www.tiktok.com/@aislinnmcinerney/video/6939038297025039621,aislinnmcinerney,21600000,3500000,27500,112300,#YesDayChallenge #shoppinghaul #twilight #ronaldo #streetwear #juventus #musicaltheatre #gta #gta5 #sabiasque #beautyhack #ontherunway #fyp,#yesdaychallenge #shoppinghaul #twilight #ronaldo #streetwear #juventus #musicaltheatre #gta #gta5 #sabiasque #beautyhack #ontherunway #fyp,3/13/2021,04/20/2023
https://www.tiktok.com/@jaadiee/video/6953611648003329286,jaadiee,18400000,2900000,23700,30700,Better late than never 👴🏻 #gramps #opa #streetwear #fashion #drake,#gramps #opa #streetwear #fashion #drake,4/21/2021,04/20/2023
https://www.tiktok.com/@whatwedoisexclusive_/video/6988619445879049477,whatwedoisexclusive_,12800000,3000000,8623,43700,A simple follow will mean everything 🙏🏾❤️ #fyp #streetwear #foryou #embroidery #streetfashion #customfitted #foryoupage #smallbusiness,#fyp #streetwear #foryou #embroidery #streetfashion #customfitted #foryoupage #smallbusiness,7/24/2021,04/20/2023
https://www.tiktok.com/@_jordangonz01/video/7042718167147531526,_jordangonz01,23900000,3400000,3101,28000,BEST COLOR COMBOS 🎨 #streetwear #streetfashion #streetfashion #colorcombos,#streetwear #streetfashion #streetfashion #colorcombos,12/17/2021,04/20/2023
https://www.tiktok.com/@derschutze/video/7103228656369061125,derschutze,15100000,3100000,4772,5842,next release 30 May 6PM CEST #fyp #foryou #varsity #embroidery #streetwear #fashion #clothingbrand #fy,#fyp #foryou #varsity #embroidery #streetwear #fashion #clothingbrand #fy,5/29/2022,04/20/2023
https://www.tiktok.com/@street_vibes90/video/7121594823655574810,street_vibes90,33800000,3000000,29100,44600,#streetstyle #streetwear #streetfashion #chinesestreetfashion #TeamUSATryout #fypシ,#streetstyle #streetwear #streetfashion #chinesestreetfashion #teamusatryout #fypシ,7/18/2022,04/20/2023
https://www.tiktok.com/@jaadiee/video/7197455788917460229,jaadiee,27800000,3500000,6947,22700,Unboxing something crazy 👀🅱️ #unboxing #streetwear #fashion #mschf @mschf #bigredboot ,#unboxing #streetwear #fashion #mschf #bigredboot,2/7/2023,04/20/2023
https://www.tiktok.com/@jaadiee/video/7205620682871377158,jaadiee,20500000,3100000,13200,9153,Replying to @Dgang here you go 🌊💖 #Gramps #styling #diorb31 #fashion #streetwear #outfit #dior #grwm ,#gramps #styling #diorb31 #fashion #streetwear #outfit #dior #grwm,3/1/2023,04/20/2023
https://www.tiktok.com/@blvk_star/video/7133312265285160197,blvk_star,5000000,458100,749,6700,Soft boy 💚 rate the fit 😀 #ootd #outfitideas #softboy #style #tiktokfashion #dinner #fypシ,#ootd #outfitideas #softboy #style #tiktokfashion #dinner #fypシ,8/18/2022,04/20/2023
https://www.tiktok.com/@goonza_costa/video/7137076768522931499,goonza_costa,636300,16400,146,111,De que país me siguen y  Cuál prefieren? 👋🤝 los leo #fyp #foryoupage #parati #ootd #viral #foryou ,#fyp #foryoupage #parati #ootd #viral #foryou,8/28/2022,04/20/2023
https://www.tiktok.com/@lina.noory/video/7137130162512039211,lina.noory,878100,24800,266,589,How To Transition Your Summer Dresses To Fall Looks Pt. I 💫 Fashion Hack: You’ll learn how to style your dresses in a whole new way!  Versatility is everything ✨ #fyp #grwm #ootd #fashionhacks #outfit #styletips #fashioninspo #beautytips #fashiontiktok #fitcheck #todayslook #outfitideas #styletok #foryou #ootd #fashion #fashionhack,#fyp #grwm #ootd #fashionhacks #outfit #styletips #fashioninspo #beautytips #fashiontiktok #fitcheck #todayslook #outfitideas #styletok #foryou #ootd #fashion #fashionhack,8/29/2022,04/20/2023
